Request Year:,2024
Test:,201
Test Description:,
TestRegime Name:,LMB NMC622 100cyc C/2
TestRegime Suffix:,DEMO
TestRegime CellSize:,Pouch 3.5Ah
TestRegime Version:,1
Project Group Name:,LMB Research
Project Group Description:,Lithium Metal Battery cycling study
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names
LotID:,
Lot Description:,
Date Made:,3/01/2024 0:00
Origin:,Lab
Requestor:,Demo
Product ID:,LMB-NMC622-Pouch
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,03/15/2024 10:00:00
End Time:,1/1/0001 0:00
Operator Instructions:,Synthetic demo data for LMBAgent
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2024,201,1,1,3500,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
201,1,LAB01,001,1,,73,18,225491.055,4301,4301,4301,0,03/18/2024 00:36:39,03/15/2024 10:00:00,3873.3996,1750.0,2090.702,0.000,6932.519,0.000,2,0,0,0,0,0,48.0,0,24.99,26.69,,,,
201,1,LAB01,001,1,,73,18,225582.563,4392,4392,4392,0,03/18/2024 00:38:11,03/15/2024 10:00:00,3897.5155,1750.0,2135.185,0.000,7105.893,0.000,2,0,0,0,0,0,48.0,0,24.81,26.56,,,,
201,1,LAB01,001,1,,73,18,225674.071,4484,4484,4484,0,03/18/2024 00:39:42,03/15/2024 10:00:00,3923.2756,1750.0,2179.668,0.000,7280.412,0.000,2,0,0,0,0,0,48.0,0,24.84,26.44,,,,
201,1,LAB01,001,1,,73,18,225765.579,4575,4575,4575,0,03/18/2024 00:41:14,03/15/2024 10:00:00,3948.6020,1750.0,2224.151,0.000,7456.057,0.000,2,0,0,0,0,0,48.0,0,24.97,26.61,,,,
201,1,LAB01,001,1,,73,18,225857.087,4667,4667,4667,0,03/18/2024 00:42:45,03/15/2024 10:00:00,3972.5785,1750.0,2268.634,0.000,7632.770,0.000,30,0,0,0,0,0,48.0,0,24.96,26.33,,,,
201,1,LAB01,001,1,,73,18,225948.595,4758,4758,4758,0,03/18/2024 00:44:17,03/15/2024 10:00:00,3997.7593,1750.0,2313.117,0.000,7810.602,0.000,2,0,0,0,0,0,48.0,0,24.99,26.28,,,,
201,1,LAB01,001,1,,73,18,226040.103,4850,4850,4850,0,03/18/2024 00:45:48,03/15/2024 10:00:00,4023.7048,1750.0,2357.600,0.000,7989.589,0.000,2,0,0,0,0,0,48.0,0,25.08,26.17,,,,
201,1,LAB01,001,1,,73,18,226131.611,4941,4941,4941,0,03/18/2024 00:47:20,03/15/2024 10:00:00,4046.8097,1750.0,2402.083,0.000,8169.603,0.000,2,0,0,0,0,0,48.0,0,25.02,26.11,,,,
201,1,LAB01,001,1,,73,18,226223.119,5033,5033,5033,0,03/18/2024 00:48:51,03/15/2024 10:00:00,4074.2427,1750.0,2446.566,0.000,8350.837,0.000,2,0,0,0,0,0,48.0,0,25.20,26.14,,,,
201,1,LAB01,001,1,,73,18,226314.626,5124,5124,5124,0,03/18/2024 00:50:23,03/15/2024 10:00:00,4099.0714,1750.0,2491.049,0.000,8533.177,0.000,2,0,0,0,0,0,48.0,0,24.96,25.74,,,,
201,1,LAB01,001,1,,73,18,226406.134,5216,5216,5216,0,03/18/2024 00:51:54,03/15/2024 10:00:00,4123.0787,1750.0,2535.532,0.000,8716.583,0.000,2,0,0,0,0,0,48.0,0,25.07,25.74,,,,
201,1,LAB01,001,1,,73,18,226497.642,5307,5307,5307,0,03/18/2024 00:53:26,03/15/2024 10:00:00,4149.8083,1750.0,2580.015,0.000,8901.179,0.000,2,0,0,0,0,0,48.0,0,24.92,25.20,,,,
201,1,LAB01,001,1,,73,18,226589.150,5399,5399,5399,0,03/18/2024 00:54:57,03/15/2024 10:00:00,4174.1396,1750.0,2624.498,0.000,9086.858,0.000,2,0,0,0,0,0,48.0,0,25.14,25.30,,,,
201,1,LAB01,001,1,,73,18,226680.658,5490,5490,5490,0,03/18/2024 00:56:29,03/15/2024 10:00:00,4198.7389,1750.0,2668.981,0.000,9273.630,0.000,2,0,0,0,0,0,48.0,0,25.02,25.00,,,,
201,1,LAB01,001,1,,74,18,226710.658,0,0,5490,0,03/18/2024 00:58:00,03/15/2024 10:00:00,4187.7776,0.0,2668.981,0.000,9273.630,0.000,30,0,0,0,0,0,48.0,0,24.90,24.90,,,,
201,1,LAB01,001,1,,74,18,226740.658,0,30,5490,0,03/18/2024 00:58:30,03/15/2024 10:00:00,4187.9233,0.0,2668.981,0.000,9273.630,0.000,2,0,0,0,0,0,48.0,0,25.00,25.00,,,,
201,1,LAB01,001,1,,74,18,226770.658,0,60,5490,0,03/18/2024 00:59:00,03/15/2024 10:00:00,4191.1843,0.0,2668.981,0.000,9273.630,0.000,2,0,0,0,0,0,48.0,0,25.03,25.03,,,,
201,1,LAB01,001,1,,74,18,226800.658,0,90,5490,0,03/18/2024 00:59:30,03/15/2024 10:00:00,4190.9101,0.0,2668.981,0.000,9273.630,0.000,30,0,0,0,0,0,48.0,0,24.93,24.93,,,,
201,1,LAB01,001,1,,74,18,226830.658,0,120,5490,0,03/18/2024 01:00:00,03/15/2024 10:00:00,4188.7724,0.0,2668.981,0.000,9273.630,0.000,2,0,0,0,0,0,48.0,0,24.86,24.86,,,,
201,1,LAB01,001,1,,75,18,226921.290,91,91,5490,91,03/18/2024 01:00:30,03/15/2024 10:00:00,4126.2882,-1750.0,2668.981,44.057,9273.630,181.793,30,0,0,0,0,0,48.0,0,24.90,25.20,,,,
201,1,LAB01,001,1,,75,18,227011.922,181,181,5490,181,03/18/2024 01:02:01,03/15/2024 10:00:00,4104.6624,-1750.0,2668.981,88.114,9273.630,362.633,2,0,0,0,0,0,48.0,0,24.95,25.24,,,,
201,1,LAB01,001,1,,75,18,227102.554,272,272,5490,272,03/18/2024 01:03:31,03/15/2024 10:00:00,4078.9128,-1750.0,2668.981,132.172,9273.630,542.339,2,0,0,0,0,0,48.0,0,25.10,25.37,,,,
201,1,LAB01,001,1,,75,18,227193.186,363,363,5490,363,03/18/2024 01:05:02,03/15/2024 10:00:00,4055.7571,-1750.0,2668.981,176.229,9273.630,721.024,2,0,0,0,0,0,48.0,0,24.92,25.45,,,,
201,1,LAB01,001,1,,75,18,227283.818,453,453,5490,453,03/18/2024 01:06:33,03/15/2024 10:00:00,4032.9871,-1750.0,2668.981,220.286,9273.630,898.706,2,0,0,0,0,0,48.0,0,25.09,25.93,,,,
201,1,LAB01,001,1,,75,18,227374.450,544,544,5490,544,03/18/2024 01:08:03,03/15/2024 10:00:00,4011.2645,-1750.0,2668.981,264.343,9273.630,1075.432,2,0,0,0,0,0,48.0,0,25.13,25.92,,,,
201,1,LAB01,001,1,,75,18,227465.082,634,634,5490,634,03/18/2024 01:09:34,03/15/2024 10:00:00,3987.6006,-1750.0,2668.981,308.401,9273.630,1251.114,2,0,0,0,0,0,48.0,0,24.94,25.87,,,,
201,1,LAB01,001,1,,75,18,227555.714,725,725,5490,725,03/18/2024 01:11:05,03/15/2024 10:00:00,3962.8465,-1750.0,2668.981,352.458,9273.630,1425.706,2,0,0,0,0,0,48.0,0,25.03,26.38,,,,
201,1,LAB01,001,1,,75,18,227646.346,816,816,5490,816,03/18/2024 01:12:35,03/15/2024 10:00:00,3942.5859,-1750.0,2668.981,396.515,9273.630,1599.406,2,0,0,0,0,0,48.0,0,25.01,26.25,,,,
201,1,LAB01,001,1,,75,18,227736.978,906,906,5490,906,03/18/2024 01:14:06,03/15/2024 10:00:00,3918.1602,-1750.0,2668.981,440.572,9273.630,1772.029,2,0,0,0,0,0,48.0,0,24.93,26.17,,,,
201,1,LAB01,001,1,,75,18,227827.611,997,997,5490,997,03/18/2024 01:15:36,03/15/2024 10:00:00,3893.0962,-1750.0,2668.981,484.630,9273.630,1943.548,30,0,0,0,0,0,48.0,0,24.83,26.37,,,,
201,1,LAB01,001,1,,75,18,227918.243,1088,1088,5490,1088,03/18/2024 01:17:07,03/15/2024 10:00:00,3870.7084,-1750.0,2668.981,528.687,9273.630,2114.081,2,0,0,0,0,0,48.0,0,24.94,26.79,,,,
201,1,LAB01,001,1,,75,18,228008.875,1178,1178,5490,1178,03/18/2024 01:18:38,03/15/2024 10:00:00,3848.3839,-1750.0,2668.981,572.744,9273.630,2283.630,2,0,0,0,0,0,48.0,0,25.11,26.80,,,,
201,1,LAB01,001,1,,75,18,228099.507,1269,1269,5490,1269,03/18/2024 01:20:08,03/15/2024 10:00:00,3823.1296,-1750.0,2668.981,616.801,9273.630,2452.067,2,0,0,0,0,0,48.0,0,25.10,26.83,,,,
201,1,LAB01,001,1,,75,18,228190.139,1359,1359,5490,1359,03/18/2024 01:21:39,03/15/2024 10:00:00,3801.5677,-1750.0,2668.981,660.859,9273.630,2619.553,2,0,0,0,0,0,48.0,0,25.03,26.96,,,,
201,1,LAB01,001,1,,75,18,228280.771,1450,1450,5490,1450,03/18/2024 01:23:10,03/15/2024 10:00:00,3777.6936,-1750.0,2668.981,704.916,9273.630,2785.988,2,0,0,0,0,0,48.0,0,25.05,27.02,,,,
201,1,LAB01,001,1,,75,18,228371.403,1541,1541,5490,1541,03/18/2024 01:24:40,03/15/2024 10:00:00,3754.2470,-1750.0,2668.981,748.973,9273.630,2951.390,2,0,0,0,0,0,48.0,0,24.96,27.17,,,,
201,1,LAB01,001,1,,75,18,228462.035,1631,1631,5490,1631,03/18/2024 01:26:11,03/15/2024 10:00:00,3730.8214,-1750.0,2668.981,793.030,9273.630,3115.760,2,0,0,0,0,0,48.0,0,25.12,27.25,,,,
201,1,LAB01,001,1,,75,18,228552.667,1722,1722,5490,1722,03/18/2024 01:27:42,03/15/2024 10:00:00,3706.7928,-1750.0,2668.981,837.088,9273.630,3279.071,2,0,0,0,0,0,48.0,0,25.09,27.37,,,,
201,1,LAB01,001,1,,75,18,228643.299,1813,1813,5490,1813,03/18/2024 01:29:12,03/15/2024 10:00:00,3682.5728,-1750.0,2668.981,881.145,9273.630,3441.315,2,0,0,0,0,0,48.0,0,25.09,27.33,,,,
201,1,LAB01,001,1,,75,18,228733.931,1903,1903,5490,1903,03/18/2024 01:30:43,03/15/2024 10:00:00,3659.8741,-1750.0,2668.981,925.202,9273.630,3602.559,30,0,0,0,0,0,48.0,0,25.02,27.32,,,,
201,1,LAB01,001,1,,75,18,228824.563,1994,1994,5490,1994,03/18/2024 01:32:13,03/15/2024 10:00:00,3635.7868,-1750.0,2668.981,969.259,9273.630,3762.741,2,0,0,0,0,0,48.0,0,25.16,27.44,,,,
201,1,LAB01,001,1,,75,18,228915.195,2085,2085,5490,2085,03/18/2024 01:33:44,03/15/2024 10:00:00,3611.0858,-1750.0,2668.981,1013.317,9273.630,3921.836,2,0,0,0,0,0,48.0,0,25.00,27.34,,,,
201,1,LAB01,001,1,,75,18,229005.827,2175,2175,5490,2175,03/18/2024 01:35:15,03/15/2024 10:00:00,3587.9064,-1750.0,2668.981,1057.374,9273.630,4079.909,2,0,0,0,0,0,48.0,0,25.02,27.41,,,,
201,1,LAB01,001,1,,75,18,229096.459,2266,2266,5490,2266,03/18/2024 01:36:45,03/15/2024 10:00:00,3563.9597,-1750.0,2668.981,1101.431,9273.630,4236.927,2,0,0,0,0,0,48.0,0,24.90,27.49,,,,
201,1,LAB01,001,1,,75,18,229187.091,2356,2356,5490,2356,03/18/2024 01:38:16,03/15/2024 10:00:00,3539.9940,-1750.0,2668.981,1145.488,9273.630,4392.890,2,0,0,0,0,0,48.0,0,25.21,27.77,,,,
201,1,LAB01,001,1,,75,18,229277.723,2447,2447,5490,2447,03/18/2024 01:39:47,03/15/2024 10:00:00,3517.8684,-1750.0,2668.981,1189.546,9273.630,4547.877,2,0,0,0,0,0,48.0,0,24.97,27.50,,,,
201,1,LAB01,001,1,,75,18,229368.355,2538,2538,5490,2538,03/18/2024 01:41:17,03/15/2024 10:00:00,3490.4625,-1750.0,2668.981,1233.603,9273.630,4701.657,2,0,0,0,0,0,48.0,0,24.94,27.55,,,,
201,1,LAB01,001,1,,75,18,229458.987,2628,2628,5490,2628,03/18/2024 01:42:48,03/15/2024 10:00:00,3468.4694,-1750.0,2668.981,1277.660,9273.630,4854.469,2,0,0,0,0,0,48.0,0,25.12,27.90,,,,
201,1,LAB01,001,1,,75,18,229549.619,2719,2719,5490,2719,03/18/2024 01:44:18,03/15/2024 10:00:00,3444.1778,-1750.0,2668.981,1321.717,9273.630,5006.210,2,0,0,0,0,0,48.0,0,25.25,27.63,,,,
201,1,LAB01,001,1,,75,18,229640.251,2810,2810,5490,2810,03/18/2024 01:45:49,03/15/2024 10:00:00,3421.0648,-1750.0,2668.981,1365.775,9273.630,5156.932,30,0,0,0,0,0,48.0,0,25.02,27.52,,,,
201,1,LAB01,001,1,,75,18,229730.883,2900,2900,5490,2900,03/18/2024 01:47:20,03/15/2024 10:00:00,3393.6289,-1750.0,2668.981,1409.832,9273.630,5306.446,2,0,0,0,0,0,48.0,0,25.10,27.77,,,,
201,1,LAB01,001,1,,75,18,229821.515,2991,2991,5490,2991,03/18/2024 01:48:50,03/15/2024 10:00:00,3370.9489,-1750.0,2668.981,1453.889,9273.630,5454.961,2,0,0,0,0,0,48.0,0,24.82,27.54,,,,
201,1,LAB01,001,1,,75,18,229912.147,3081,3081,5490,3081,03/18/2024 01:50:21,03/15/2024 10:00:00,3346.1190,-1750.0,2668.981,1497.946,9273.630,5602.382,2,0,0,0,0,0,48.0,0,25.26,28.25,,,,
201,1,LAB01,001,1,,75,18,230002.780,3172,3172,5490,3172,03/18/2024 01:51:52,03/15/2024 10:00:00,3322.3087,-1750.0,2668.981,1542.003,9273.630,5748.753,2,0,0,0,0,0,48.0,0,24.87,27.50,,,,
201,1,LAB01,001,1,,75,18,230093.412,3263,3263,5490,3263,03/18/2024 01:53:22,03/15/2024 10:00:00,3298.3377,-1750.0,2668.981,1586.061,9273.630,5894.069,2,0,0,0,0,0,48.0,0,24.92,27.36,,,,
201,1,LAB01,001,1,,75,18,230184.044,3353,3353,5490,3353,03/18/2024 01:54:53,03/15/2024 10:00:00,3274.4058,-1750.0,2668.981,1630.118,9273.630,6038.330,2,0,0,0,0,0,48.0,0,24.90,27.34,,,,
201,1,LAB01,001,1,,75,18,230274.676,3444,3444,5490,3444,03/18/2024 01:56:24,03/15/2024 10:00:00,3250.2879,-1750.0,2668.981,1674.175,9273.630,6181.529,2,0,0,0,0,0,48.0,0,25.05,27.41,,,,
201,1,LAB01,001,1,,75,18,230365.308,3535,3535,5490,3535,03/18/2024 01:57:54,03/15/2024 10:00:00,3224.2591,-1750.0,2668.981,1718.232,9273.630,6323.581,2,0,0,0,0,0,48.0,0,24.96,27.43,,,,
201,1,LAB01,001,1,,75,18,230455.940,3625,3625,5490,3625,03/18/2024 01:59:25,03/15/2024 10:00:00,3200.6204,-1750.0,2668.981,1762.290,9273.630,6464.592,2,0,0,0,0,0,48.0,0,25.10,27.44,,,,
201,1,LAB01,001,1,,75,18,230546.572,3716,3716,5490,3716,03/18/2024 02:00:55,03/15/2024 10:00:00,3176.2103,-1750.0,2668.981,1806.347,9273.630,6604.527,30,0,0,0,0,0,48.0,0,24.81,26.87,,,,
201,1,LAB01,001,1,,75,18,230637.204,3807,3807,5490,3807,03/18/2024 02:02:26,03/15/2024 10:00:00,3150.2331,-1750.0,2668.981,1850.404,9273.630,6743.317,2,0,0,0,0,0,48.0,0,25.14,27.30,,,,
201,1,LAB01,001,1,,75,18,230727.836,3897,3897,5490,3897,03/18/2024 02:03:57,03/15/2024 10:00:00,3126.5779,-1750.0,2668.981,1894.461,9273.630,6881.066,2,0,0,0,0,0,48.0,0,25.00,26.98,,,,
201,1,LAB01,001,1,,75,18,230818.468,3988,3988,5490,3988,03/18/2024 02:05:27,03/15/2024 10:00:00,3101.3941,-1750.0,2668.981,1938.519,9273.630,7017.705,2,0,0,0,0,0,48.0,0,25.29,27.26,,,,
201,1,LAB01,001,1,,75,18,230909.100,4078,4078,5490,4078,03/18/2024 02:06:58,03/15/2024 10:00:00,3077.3159,-1750.0,2668.981,1982.576,9273.630,7153.283,2,0,0,0,0,0,48.0,0,24.99,26.94,,,,
201,1,LAB01,001,1,,75,18,230999.732,4169,4169,5490,4169,03/18/2024 02:08:29,03/15/2024 10:00:00,3051.3520,-1750.0,2668.981,2026.633,9273.630,7287.717,2,0,0,0,0,0,48.0,0,24.87,26.91,,,,
201,1,LAB01,001,1,,75,18,231090.364,4260,4260,5490,4260,03/18/2024 02:09:59,03/15/2024 10:00:00,3026.9263,-1750.0,2668.981,2070.690,9273.630,7421.075,2,0,0,0,0,0,48.0,0,25.12,26.77,,,,
201,1,LAB01,001,1,,75,18,231180.996,4350,4350,5490,4350,03/18/2024 02:11:30,03/15/2024 10:00:00,3000.5698,-1750.0,2668.981,2114.748,9273.630,7553.272,2,0,0,0,0,0,48.0,0,25.11,26.71,,,,
201,1,LAB01,001,1,,75,18,231271.628,4441,4441,5490,4441,03/18/2024 02:13:00,03/15/2024 10:00:00,2975.7894,-1750.0,2668.981,2158.805,9273.630,7684.377,2,0,0,0,0,0,48.0,0,24.83,26.33,,,,
201,1,LAB01,001,1,,75,18,231362.260,4532,4532,5490,4532,03/18/2024 02:14:31,03/15/2024 10:00:00,2951.9204,-1750.0,2668.981,2202.862,9273.630,7814.430,2,0,0,0,0,0,48.0,0,24.97,26.69,,,,
201,1,LAB01,001,1,,75,18,231452.892,4622,4622,5490,4622,03/18/2024 02:16:02,03/15/2024 10:00:00,2927.3831,-1750.0,2668.981,2246.919,9273.630,7943.403,30,0,0,0,0,0,48.0,0,24.93,26.06,,,,
201,1,LAB01,001,1,,75,18,231543.524,4713,4713,5490,4713,03/18/2024 02:17:32,03/15/2024 10:00:00,2901.1459,-1750.0,2668.981,2290.977,9273.630,8071.219,2,0,0,0,0,0,48.0,0,25.15,26.43,,,,
201,1,LAB01,001,1,,75,18,231634.156,4803,4803,5490,4803,03/18/2024 02:19:03,03/15/2024 10:00:00,2876.2584,-1750.0,2668.981,2335.034,9273.630,8197.939,2,0,0,0,0,0,48.0,0,25.08,26.40,,,,
201,1,LAB01,001,1,,75,18,231724.788,4894,4894,5490,4894,03/18/2024 02:20:34,03/15/2024 10:00:00,2851.7428,-1750.0,2668.981,2379.091,9273.630,8323.579,2,0,0,0,0,0,48.0,0,24.99,25.61,,,,
201,1,LAB01,001,1,,75,18,231815.420,4985,4985,5490,4985,03/18/2024 02:22:04,03/15/2024 10:00:00,2827.0230,-1750.0,2668.981,2423.148,9273.630,8448.130,2,0,0,0,0,0,48.0,0,24.93,25.81,,,,
201,1,LAB01,001,1,,75,18,231906.052,5075,5075,5490,5075,03/18/2024 02:23:35,03/15/2024 10:00:00,2801.9997,-1750.0,2668.981,2467.206,9273.630,8571.578,2,0,0,0,0,0,48.0,0,25.01,25.84,,,,
201,1,LAB01,001,1,,75,18,231996.684,5166,5166,5490,5166,03/18/2024 02:25:06,03/15/2024 10:00:00,2775.7229,-1750.0,2668.981,2511.263,9273.630,8693.869,2,0,0,0,0,0,48.0,0,25.12,25.80,,,,
201,1,LAB01,001,1,,75,18,232087.316,5257,5257,5490,5257,03/18/2024 02:26:36,03/15/2024 10:00:00,2750.3451,-1750.0,2668.981,2555.320,9273.630,8815.042,2,0,0,0,0,0,48.0,0,25.15,25.61,,,,
201,1,LAB01,001,1,,75,18,232177.948,5347,5347,5490,5347,03/18/2024 02:28:07,03/15/2024 10:00:00,2726.3314,-1750.0,2668.981,2599.377,9273.630,8935.156,2,0,0,0,0,0,48.0,0,24.95,25.35,,,,
201,1,LAB01,001,1,,75,18,232268.581,5438,5438,5490,5438,03/18/2024 02:29:37,03/15/2024 10:00:00,2701.0345,-1750.0,2668.981,2643.435,9273.630,9054.156,2,0,0,0,0,0,48.0,0,24.91,25.12,,,,
201,1,LAB01,001,1,,76,19,232288.581,0,0,0,0,03/18/2024 02:31:08,03/15/2024 10:00:00,2903.4039,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,48.2,0,24.84,24.84,,,,
201,1,LAB01,001,1,,76,19,232308.581,0,20,0,0,03/18/2024 02:31:28,03/15/2024 10:00:00,2899.9679,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,48.2,0,24.89,24.89,,,,
201,1,LAB01,001,1,,76,19,232328.581,0,40,0,0,03/18/2024 02:31:48,03/15/2024 10:00:00,2900.0111,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,48.2,0,24.86,24.86,,,,
201,1,LAB01,001,1,,76,19,232348.581,0,60,0,0,03/18/2024 02:32:08,03/15/2024 10:00:00,2899.7347,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,48.2,0,24.86,24.86,,,,
201,1,LAB01,001,1,,76,19,232368.581,0,80,0,0,03/18/2024 02:32:28,03/15/2024 10:00:00,2900.6574,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,48.2,0,24.97,24.97,,,,
201,1,LAB01,001,1,,77,19,232459.613,91,91,91,0,03/18/2024 02:32:48,03/15/2024 10:00:00,2773.9182,1750.0,44.252,0.000,122.751,0.000,30,0,0,0,0,0,48.2,0,25.03,25.20,,,,
201,1,LAB01,001,1,,77,19,232550.646,182,182,182,0,03/18/2024 02:34:19,03/15/2024 10:00:00,2797.6984,1750.0,88.504,0.000,246.555,0.000,2,0,0,0,0,0,48.2,0,25.02,25.52,,,,
201,1,LAB01,001,1,,77,19,232641.678,273,273,273,0,03/18/2024 02:35:50,03/15/2024 10:00:00,2819.7546,1750.0,132.756,0.000,371.335,0.000,2,0,0,0,0,0,48.2,0,24.94,25.19,,,,
201,1,LAB01,001,1,,77,19,232732.711,364,364,364,0,03/18/2024 02:37:21,03/15/2024 10:00:00,2840.4460,1750.0,177.008,0.000,497.030,0.000,2,0,0,0,0,0,48.2,0,24.96,25.37,,,,
201,1,LAB01,001,1,,77,19,232823.744,455,455,455,0,03/18/2024 02:38:52,03/15/2024 10:00:00,2865.7347,1750.0,221.260,0.000,623.845,0.000,2,0,0,0,0,0,48.2,0,25.13,25.51,,,,
201,1,LAB01,001,1,,77,19,232914.776,546,546,546,0,03/18/2024 02:40:23,03/15/2024 10:00:00,2889.4074,1750.0,265.512,0.000,751.707,0.000,2,0,0,0,0,0,48.2,0,24.85,25.42,,,,
201,1,LAB01,001,1,,77,19,233005.809,637,637,637,0,03/18/2024 02:41:54,03/15/2024 10:00:00,2913.8181,1750.0,309.764,0.000,880.649,0.000,2,0,0,0,0,0,48.2,0,25.08,25.60,,,,
201,1,LAB01,001,1,,77,19,233096.842,728,728,728,0,03/18/2024 02:43:25,03/15/2024 10:00:00,2936.3002,1750.0,354.016,0.000,1010.586,0.000,2,0,0,0,0,0,48.2,0,24.98,26.30,,,,
201,1,LAB01,001,1,,77,19,233187.874,819,819,819,0,03/18/2024 02:44:56,03/15/2024 10:00:00,2957.7285,1750.0,398.268,0.000,1141.471,0.000,2,0,0,0,0,0,48.2,0,25.02,26.26,,,,
201,1,LAB01,001,1,,77,19,233278.907,910,910,910,0,03/18/2024 02:46:27,03/15/2024 10:00:00,2980.0973,1750.0,442.520,0.000,1273.347,0.000,2,0,0,0,0,0,48.2,0,25.01,26.48,,,,
201,1,LAB01,001,1,,77,19,233369.940,1001,1001,1001,0,03/18/2024 02:47:58,03/15/2024 10:00:00,3004.3164,1750.0,486.772,0.000,1406.293,0.000,30,0,0,0,0,0,48.2,0,25.05,26.61,,,,
201,1,LAB01,001,1,,77,19,233460.972,1092,1092,1092,0,03/18/2024 02:49:29,03/15/2024 10:00:00,3028.4685,1750.0,531.024,0.000,1540.309,0.000,2,0,0,0,0,0,48.2,0,25.11,26.78,,,,
201,1,LAB01,001,1,,77,19,233552.005,1183,1183,1183,0,03/18/2024 02:51:00,03/15/2024 10:00:00,3053.1551,1750.0,575.276,0.000,1675.417,0.000,2,0,0,0,0,0,48.2,0,25.03,26.86,,,,
201,1,LAB01,001,1,,77,19,233643.038,1274,1274,1274,0,03/18/2024 02:52:32,03/15/2024 10:00:00,3075.2025,1750.0,619.528,0.000,1811.501,0.000,2,0,0,0,0,0,48.2,0,25.07,26.90,,,,
201,1,LAB01,001,1,,77,19,233734.070,1365,1365,1365,0,03/18/2024 02:54:03,03/15/2024 10:00:00,3099.1677,1750.0,663.780,0.000,1948.646,0.000,2,0,0,0,0,0,48.2,0,25.07,26.91,,,,
201,1,LAB01,001,1,,77,19,233825.103,1457,1457,1457,0,03/18/2024 02:55:34,03/15/2024 10:00:00,3122.0967,1750.0,708.032,0.000,2086.804,0.000,2,0,0,0,0,0,48.2,0,24.82,26.84,,,,
201,1,LAB01,001,1,,77,19,233916.136,1548,1548,1548,0,03/18/2024 02:57:05,03/15/2024 10:00:00,3144.9968,1750.0,752.284,0.000,2225.977,0.000,2,0,0,0,0,0,48.2,0,24.92,26.94,,,,
201,1,LAB01,001,1,,77,19,234007.168,1639,1639,1639,0,03/18/2024 02:58:36,03/15/2024 10:00:00,3170.0827,1750.0,796.536,0.000,2366.259,0.000,2,0,0,0,0,0,48.2,0,25.06,27.28,,,,
201,1,LAB01,001,1,,77,19,234098.201,1730,1730,1730,0,03/18/2024 03:00:07,03/15/2024 10:00:00,3193.0801,1750.0,840.788,0.000,2507.559,0.000,2,0,0,0,0,0,48.2,0,25.03,27.13,,,,
201,1,LAB01,001,1,,77,19,234189.234,1821,1821,1821,0,03/18/2024 03:01:38,03/15/2024 10:00:00,3218.1637,1750.0,885.040,0.000,2649.970,0.000,2,0,0,0,0,0,48.2,0,25.16,27.38,,,,
201,1,LAB01,001,1,,77,19,234280.266,1912,1912,1912,0,03/18/2024 03:03:09,03/15/2024 10:00:00,3239.6902,1750.0,929.292,0.000,2793.332,0.000,30,0,0,0,0,0,48.2,0,24.88,27.12,,,,
201,1,LAB01,001,1,,77,19,234371.299,2003,2003,2003,0,03/18/2024 03:04:40,03/15/2024 10:00:00,3263.7313,1750.0,973.544,0.000,2937.759,0.000,2,0,0,0,0,0,48.2,0,25.03,27.50,,,,
201,1,LAB01,001,1,,77,19,234462.332,2094,2094,2094,0,03/18/2024 03:06:11,03/15/2024 10:00:00,3288.9909,1750.0,1017.796,0.000,3083.303,0.000,2,0,0,0,0,0,48.2,0,25.02,27.54,,,,
201,1,LAB01,001,1,,77,19,234553.364,2185,2185,2185,0,03/18/2024 03:07:42,03/15/2024 10:00:00,3311.9505,1750.0,1062.048,0.000,3229.864,0.000,2,0,0,0,0,0,48.2,0,25.16,27.94,,,,
201,1,LAB01,001,1,,77,19,234644.397,2276,2276,2276,0,03/18/2024 03:09:13,03/15/2024 10:00:00,3335.4775,1750.0,1106.300,0.000,3377.465,0.000,2,0,0,0,0,0,48.2,0,25.03,27.57,,,,
201,1,LAB01,001,1,,77,19,234735.429,2367,2367,2367,0,03/18/2024 03:10:44,03/15/2024 10:00:00,3359.8629,1750.0,1150.552,0.000,3526.146,0.000,2,0,0,0,0,0,48.2,0,24.94,27.39,,,,
